trade_date,strategy,regime,base_cycle_index,is_base_entry_day,is_base_expiry_day,liquidation_applied,regime_evaluation_day,hedge_eligible_day,hedge_executed_day,no_hedge_reason,spot,base_contract_id,base_expiry,base_dte,base_option_price_per_share,base_delta_per_share,base_gamma_per_share,base_vega_per_share,base_theta_per_share,base_contracts_held,base_trade_contracts,selected_hedge_id,targeted_greek,pre_delta,pre_gamma,pre_vega,pre_theta,pre_greek_abs_sum,hedge_contracts_theory,hedge_contracts_actual,stock_position_theory,stock_position_actual,stock_trade_shares,post_delta,post_gamma,post_vega,post_theta,gross_live_option_exposure,gross_option_turnover_contracts,gross_hedge_option_turnover_contracts,base_trade_cashflow,option_liquidation_cashflow,stock_liquidation_cashflow,option_trade_cashflow,total_trade_cashflow,cumulative_cash_outflow_before_interest,interest_cost,cumulative_cash_outflow_after_interest
2025-12-12,delta,medium,1,True,False,False,True,True,True,executed,226.19000244140625,2026-01-11|225.0|call,2026-01-11,30,5.048122778292949,0.5805940131378168,0.038224879253191124,25.340359254575176,-28.753457766017846,-1000.0,-1000.0,,delta,-58059.40131378168,-3822.4879253191125,-2534035.9254575176,2875345.7766017844,2595917.8146966184,,0.0,58059.40131378168,58100.0,58100.0,40.598686218319926,-3822.4879253191125,-2534035.9254575176,2875345.7766017844,1000.0,0.0,0.0,-504812.27782929497,0.0,0.0,0.0,12636826.864016408,12636826.864016408,1767.6514246349032,12638594.515441043
2025-12-15,delta,medium,1,False,False,False,True,True,True,executed,222.5399932861328,2026-01-11|225.0|call,2026-01-11,27,3.14242819246833,0.43495427911047535,0.03933142862284237,23.8247983947453,-29.940943870017797,-1000.0,0.0,,delta,14604.572088952467,-3933.142862284237,-2382479.83947453,2994094.38700178,2401017.5544257667,,0.0,43495.42791104753,43500.0,-14600.0,4.572088952467311,-3933.142862284237,-2382479.83947453,2994094.38700178,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3249083.901977539,9389510.613463504,1318.2575219580085,9390828.870985461
2025-12-16,delta,medium,1,False,False,False,True,True,True,executed,222.55999755859375,2026-01-11|225.0|call,2026-01-11,26,3.0625373139032632,0.4332369538309996,0.0401140619383698,23.364608264535818,-30.382490743152413,-1000.0,0.0,,delta,176.3046169000445,-4011.4061938369796,-2336460.826453582,3038249.0743152415,2340648.537264319,,0.0,43323.695383099956,43300.0,-200.0,-23.695383099955507,-4011.4061938369796,-2336460.826453582,3038249.0743152415,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-44511.99951171875,9346316.871473743,1314.7894453349923,9347631.660919078
2025-12-17,delta,medium,1,False,False,False,True,True,True,executed,221.27000427246094,2026-01-11|225.0|call,2026-01-11,25,2.7142293085765345,0.38750363925483566,0.0374208261101117,22.17764080397053,-31.553689174339013,-1000.0,0.0,,delta,4549.636074516435,-3742.0826110111702,-2217764.080397053,3155368.917433901,2226055.799082581,,0.0,38750.363925483565,38800.0,-4500.0,49.636074516434746,-3742.0826110111702,-2217764.080397053,3155368.917433901,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-995715.0192260742,8351916.6416930035,1174.2397031011174,8353090.881396105
2025-12-18,delta,medium,1,False,False,False,True,True,True,executed,226.75999450683594,2026-01-11|225.0|call,2026-01-11,24,5.139055925028828,0.6007553120117941,0.03936902523322273,22.453402379152635,-33.418090424900264,-1000.0,0.0,,delta,-21275.53120117941,-3936.902523322273,-2245340.2379152635,3341809.0424900264,2270552.671639765,,0.0,60075.53120117941,60100.0,21300.0,24.468798820591473,-3936.902523322273,-2245340.2379152635,3341809.0424900264,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,4829987.8829956055,13183078.76439171,1842.4922376520622,13184921.25662936
2025-12-19,delta,low,1,False,False,False,True,True,True,executed,227.35000610351562,2026-01-11|225.0|call,2026-01-11,23,4.988063029520646,0.6389067541641391,0.044000768327489996,21.373395067215146,-30.23301632402786,-1000.0,0.0,,delta,-3790.675416413913,-4400.076832749,-2137339.5067215147,3023301.632402786,2145530.258970678,,0.0,63890.67541641391,63900.0,3800.0,9.324583586087101,-4400.076832749,-2137339.5067215147,3023301.632402786,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,863930.0231933594,14048851.27982272,1963.4942560548357,14050814.774078775
2025-12-22,delta,low,1,False,False,False,True,True,True,executed,228.42999267578125,2026-01-11|225.0|call,2026-01-11,20,5.301416341534264,0.7033349715205598,0.04593312442269197,18.49724595718397,-29.25380256505204,-1000.0,0.0,,delta,-6433.4971520559775,-4593.312442269197,-1849724.595718397,2925380.256505204,1860751.4053127223,,0.0,70333.49715205598,70300.0,6400.0,-33.497152055977494,-4593.312442269197,-1849724.595718397,2925380.256505204,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,1461951.953125,15512766.727203775,2171.7874134308904,15514938.514617207
2025-12-23,delta,low,1,False,False,False,True,True,True,executed,232.13999938964844,2026-01-11|225.0|call,2026-01-11,19,8.13021832554665,0.8524729331231952,0.030953185753020147,12.21256379634211,-23.2298610240099,-1000.0,0.0,,delta,-14947.29331231951,-3095.318575302015,-1221256.379634211,2322986.1024009897,1239298.9915218325,,0.0,85247.29331231951,85200.0,14900.0,-47.29331231951073,-3095.318575302015,-1221256.379634211,2322986.1024009897,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3458885.9909057617,18973824.505522966,2670.6410404071758,18976495.146563374
2025-12-24,delta,low,1,False,False,False,True,True,True,executed,232.3800048828125,2026-01-11|225.0|call,2026-01-11,18,8.215650526641866,0.8744123934504451,0.029579474928131854,10.657832071870521,-21.551991779583517,-1000.0,0.0,,delta,-2241.239345044509,-2957.9474928131854,-1065783.2071870521,2155199.1779583516,1070982.3940249097,,0.0,87441.23934504451,87400.0,2200.0,-41.23934504450881,-2957.9474928131854,-1065783.2071870521,2155199.1779583516,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,511236.0107421875,19487731.15730556,2749.162125601892,19490480.319431163
2025-12-26,delta,low,1,False,False,False,True,True,True,executed,232.52000427246094,2026-01-11|225.0|call,2026-01-11,16,8.232010678122691,0.8885888302184435,0.028557938984187743,9.2380675393577,-21.411070239431645,-1000.0,0.0,,delta,-1458.8830218443472,-2855.7938984187745,-923806.7539357701,2141107.0239431644,928121.4308560332,,0.0,88858.88302184435,88900.0,1500.0,41.11697815565276,-2855.7938984187745,-923806.7539357701,2141107.0239431644,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,348780.0064086914,19839260.325839855,2789.3055156304417,19842049.631355487
2025-12-29,delta,low,1,False,False,False,True,True,True,executed,232.07000732421875,2026-01-11|225.0|call,2026-01-11,13,7.697240342302081,0.8874882709242655,0.030685411960888514,8.369586683669066,-23.72184618607103,-1000.0,0.0,,delta,151.17290757344745,-3068.5411960888514,-836958.6683669066,2372184.618607103,840178.3824705689,,0.0,88748.82709242655,88700.0,-200.0,-48.827092426552554,-3068.5411960888514,-836958.6683669066,2372184.618607103,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-46414.00146484375,19795635.629890643,2779.244483053774,19798414.874373697
2025-12-30,delta,low,1,False,False,False,True,True,True,executed,232.52999877929688,2026-01-11|225.0|call,2026-01-11,12,8.056813528461987,0.9070741318234465,0.027485171515750875,7.011039194192937,-22.48178393490493,-1000.0,0.0,,delta,-2007.4131823446514,-2748.5171515750876,-701103.9194192936,2248178.393490493,705859.8497532133,,0.0,90707.41318234465,90700.0,2000.0,-7.413182344651432,-2748.5171515750876,-701103.9194192936,2248178.393490493,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,465059.99755859375,20263474.87193229,2846.535725144844,20266321.407657437
2025-12-31,delta,low,1,False,False,False,True,True,True,executed,230.82000732421875,2026-01-11|225.0|call,2026-01-11,11,6.527681094865073,0.8507450510769481,0.038848721970342656,9.3117686448059,-29.796420117918455,-1000.0,0.0,,delta,5625.494892305185,-3884.872197034266,-931176.86448059,2979642.0117918453,940687.2315699294,,0.0,85074.50510769481,85100.0,-5600.0,25.494892305185203,-3884.872197034266,-931176.86448059,2979642.0117918453,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1292592.041015625,18973729.366641812,2670.6276492323773,18976399.994291045
2026-01-02,delta,low,1,False,False,False,True,True,True,executed,226.5,2026-01-11|225.0|call,2026-01-11,9,2.9933091875612945,0.6345576362453615,0.07348092029645537,13.374094719794074,-43.99224337708181,-1000.0,0.0,,delta,21644.236375463843,-7348.092029645537,-1337409.4719794074,4399224.337708182,1366401.8003845168,,0.0,63455.76362453616,63500.0,-21600.0,44.236375463842705,-7348.092029645537,-1337409.4719794074,4399224.337708182,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4892400.0,14083999.994291045,1974.5544393800742,14085974.548730426
2026-01-05,delta,low,1,False,False,False,True,True,True,executed,233.05999755859375,2026-01-11|225.0|call,2026-01-11,6,8.241182782684461,0.9703764226714584,0.015157380191568997,2.0119837299627754,-16.757632452680934,-1000.0,0.0,,delta,-33537.64226714584,-1515.7380191568996,-201198.37299627755,1675763.2452680934,236251.7532825803,,0.0,97037.64226714584,97000.0,33500.0,-37.6422671458422,-1515.7380191568996,-201198.37299627755,1675763.2452680934,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,7807509.918212891,21893484.466943316,3053.7936586517335,21896538.260601968
2026-01-06,delta,low,1,False,False,False,True,True,True,executed,240.92999267578125,2026-01-11|225.0|call,2026-01-11,5,16.0384935665748,0.9999644574567274,3.564828170986747e-05,0.004208983044528572,-7.9386905833345045,-1000.0,0.0,,delta,-2996.4457456727396,-3.5648281709867473,-420.8983044528572,793869.0583334505,3420.9088782965837,,0.0,99996.44574567274,100000.0,3000.0,3.5542543272604235,-3.5648281709867473,-420.8983044528572,793869.0583334505,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,722789.9780273438,22619328.23862931,3159.5251971645125,22622487.763826475
2026-01-07,delta,medium,1,False,False,False,True,True,False,no_candidate_option,241.55999755859375,2026-01-11|225.0|call,2026-01-11,4,16.646656230704792,0.999994939092464,5.976275951251517e-06,0.0005915475597781066,-7.909838884964341,-1000.0,0.0,,delta,0.5060907536098966,-0.5976275951251516,-59.15475597781066,790983.8884964341,60.25847432654571,,0.0,99999.49390924639,100000.0,0.0,0.5060907536098966,-0.5976275951251516,-59.15475597781066,790983.8884964341,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22622487.763826475,3155.478050120773,22625643.241876595
2026-01-08,delta,medium,1,False,False,False,True,True,False,no_candidate_option,246.2899932861328,2026-01-11|225.0|call,2026-01-11,3,21.35483941877129,0.99999999992806,1.3532758885131946e-10,1.0538876362321726e-08,-7.888475877005549,-1000.0,0.0,,delta,7.194001227617264e-06,-1.3532758885131946e-05,-0.0010538876362321725,788847.5877005549,0.0010746143963449217,,0.0,99999.999992806,100000.0,0.0,7.194001227617264e-06,-1.3532758885131946e-05,-0.0010538876362321725,788847.5877005549,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22625643.241876595,3148.735323761166,22628791.977200355
2026-01-09,delta,low,1,False,False,False,True,True,False,no_candidate_option,247.3800048828125,2026-01-11|225.0|call,2026-01-11,2,22.423311673593673,1.0,3.0068217311079903e-18,1.4769715239461546e-16,-7.90272865818411,-1000.0,0.0,,delta,0.0,-3.0068217311079903e-13,-1.4769715239461548e-11,790272.865818411,1.5070397412572347e-11,,0.0,100000.0,100000.0,0.0,0.0,-3.0068217311079903e-13,-1.4769715239461548e-11,790272.865818411,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22628791.977200355,3154.5613680504293,22631946.538568407
2026-01-12,delta,medium,2,True,True,True,True,True,True,executed,246.47000122070312,2026-02-11|245.0|call,2026-02-11,30,5.429561123376942,0.5895303794865926,0.03633098687727738,27.476676714295134,-30.260080116517422,-1000.0,-1000.0,,delta,-58953.03794865926,-3633.098687727738,-2747667.6714295135,3026008.0116517423,2810253.8080659006,,0.0,58953.03794865926,59000.0,59000.0,46.96205134074262,-3633.098687727738,-2747667.6714295135,3026008.0116517423,1000.0,0.0,0.0,-542956.1123376942,0.0,-24647000.122070312,0.0,-10648226.162386522,11983720.376181886,1680.0985713342093,11985400.47475322
2026-01-13,delta,medium,2,False,False,False,True,True,True,executed,242.60000610351562,2026-02-11|245.0|call,2026-02-11,29,3.584449953693877,0.44718501359089824,0.03609511747516977,27.04115347161145,-30.997938432608787,-1000.0,0.0,,delta,14281.498640910177,-3609.511747516977,-2704115.347161145,3099793.8432608787,2722006.357549572,,0.0,44718.50135908982,44700.0,-14300.0,-18.50135908982338,-3609.511747516977,-2704115.347161145,3099793.8432608787,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-3469180.0872802734,8516220.387472946,1203.0850830199067,8517423.472555965
2026-01-14,delta,medium,2,False,False,False,True,True,True,executed,236.64999389648438,2026-02-11|245.0|call,2026-02-11,28,1.6585314371335471,0.2550750924743519,0.02897409873548472,21.050361952833427,-25.292455963490738,-1000.0,0.0,,delta,19192.490752564812,-2897.4098735484718,-2105036.1952833426,2529245.596349074,2127126.095909456,,0.0,25507.509247435188,25500.0,-19200.0,-7.509247435187717,-2897.4098735484718,-2105036.1952833426,2529245.596349074,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4543679.8828125,3973743.589743465,561.3701171471153,3974304.959860612
2026-01-15,delta,medium,2,False,False,False,True,True,True,executed,238.17999267578125,2026-02-11|245.0|call,2026-02-11,27,1.7950802088770814,0.284983313837035,0.03284589590014979,21.992219008480813,-26.073645046766273,-1000.0,0.0,,delta,-2998.331383703502,-3284.589590014979,-2199221.9008480813,2607364.5046766275,2205504.8218218,,0.0,28498.331383703502,28500.0,3000.0,1.6686162964979303,-3284.589590014979,-2199221.9008480813,2607364.5046766275,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,714539.9780273438,4688844.937887955,663.3227171376358,4689508.260605093
2026-01-16,delta,medium,2,False,False,False,True,True,True,executed,239.1199951171875,2026-02-11|245.0|call,2026-02-11,26,2.0001458638733993,0.3121226726046157,0.03476017621956814,22.582013194719327,-27.86614731405701,-1000.0,0.0,,delta,-2712.267260461569,-3476.017621956814,-2258201.3194719325,2786614.731405701,2264389.604354351,,0.0,31212.26726046157,31200.0,2700.0,-12.267260461569094,-3476.017621956814,-2258201.3194719325,2786614.731405701,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,645623.9868164062,5335132.247421499,753.0581343993663,5335885.305555899
2026-01-20,delta,medium,2,False,False,False,True,True,True,executed,231.0,2026-02-11|245.0|call,2026-02-11,22,0.763617658599518,0.13390769706582673,0.018683211382439585,12.244790927258224,-21.776079701051085,-1000.0,0.0,,delta,17809.230293417328,-1868.3211382439586,-1224479.0927258225,2177607.9701051083,1244156.6441574837,,0.0,13390.769706582672,13400.0,-17800.0,9.23029341732763,-1868.3211382439586,-1224479.0927258225,2177607.9701051083,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-4111800.0,1224085.3055558987,173.50923587826486,1224258.814791777
2026-01-21,delta,medium,2,False,False,False,True,True,True,executed,231.30999755859375,2026-02-11|245.0|call,2026-02-11,21,0.40002442028820795,0.09194898396983792,0.017362859621278336,9.154208096044774,-14.374149408980065,-1000.0,0.0,,delta,4205.101603016208,-1736.2859621278335,-915420.8096044775,1437414.9408980065,921362.1971696215,,0.0,9194.898396983792,9200.0,-4200.0,5.101603016208173,-1736.2859621278335,-915420.8096044775,1437414.9408980065,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-971501.9897460938,252756.8250456832,35.987758063843984,252792.81280374705
2026-01-22,delta,medium,2,False,False,False,True,True,True,executed,234.33999633789062,2026-02-11|245.0|call,2026-02-11,20,0.5480925482541608,0.12871839602944918,0.024268532783345172,11.524872764920516,-17.659693107521417,-1000.0,0.0,,delta,-3671.8396029449177,-2426.853278334517,-1152487.2764920515,1765969.3107521418,1158585.969373331,,0.0,12871.839602944918,12900.0,3700.0,28.160397055082285,-2426.853278334517,-1152487.2764920515,1765969.3107521418,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,867057.9864501953,1119850.7992539424,159.44542594989954,1120010.2446798924
2026-01-23,delta,medium,2,False,False,False,True,True,True,executed,239.16000366210938,2026-02-11|245.0|call,2026-02-11,19,1.4892445889325217,0.27878075630459603,0.038164115906158994,18.329157847742792,-30.73377165321913,-1000.0,0.0,,delta,-14978.075630459603,-3816.4115906158995,-1832915.7847742792,3073377.165321913,1851710.2719953547,,0.0,27878.075630459603,27900.0,15000.0,21.924369540396583,-3816.4115906158995,-1832915.7847742792,3073377.165321913,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,3587400.0549316406,4707410.299611533,669.1247529371652,4708079.42436447
2026-01-26,delta,medium,2,False,False,False,True,True,True,executed,238.4199981689453,2026-02-11|245.0|call,2026-02-11,16,1.059537151271293,0.229530736383592,0.03754976730630737,15.14014700841024,-29.86219364536475,-1000.0,0.0,,delta,4946.926361640799,-3754.976730630737,-1514014.700841024,2986219.364536475,1522716.6039332957,,0.0,22953.0736383592,23000.0,-4900.0,46.92636164079886,-3754.976730630737,-1514014.700841024,2986219.364536475,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1168257.991027832,3539821.433336638,502.1770552766,3540323.6103919144
2026-01-27,delta,medium,2,False,False,False,True,True,True,executed,244.67999267578125,2026-02-11|245.0|call,2026-02-11,15,3.2341300467926857,0.5085084634909847,0.04949403443086724,19.783764531868826,-43.43221360223605,-1000.0,0.0,,delta,-27850.846349098465,-4949.403443086724,-1978376.4531868827,4343221.360223604,2011176.7029790678,,0.0,50850.846349098465,50900.0,27900.0,49.153650901535,-4949.403443086724,-1978376.4531868827,4343221.360223604,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,6826571.795654297,10366895.406046212,1468.6434883936527,10368364.049534606
2026-01-28,delta,medium,2,False,False,False,True,True,True,executed,243.00999450683594,2026-02-11|245.0|call,2026-02-11,14,2.342813752996321,0.4219582758292515,0.05052886158687494,18.622339876817385,-43.0875452278512,-1000.0,0.0,,delta,8704.17241707485,-5052.886158687494,-1862233.9876817386,4308754.52278512,1875991.046257501,,0.0,42195.82758292515,42200.0,-8700.0,4.172417074849363,-5052.886158687494,-1862233.9876817386,4308754.52278512,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-2114186.9522094727,8254177.097325133,1173.2723215996416,8255350.369646733
2026-01-29,delta,medium,2,False,False,False,True,True,True,executed,241.72999572753906,2026-02-11|245.0|call,2026-02-11,13,1.8233717684944963,0.3566711292695868,0.04861220944428223,17.012155288438933,-43.18018051648535,-1000.0,0.0,,delta,6532.8870730413255,-4861.220944428223,-1701215.5288438932,4318018.051648535,1712609.6368613627,,0.0,35667.112926958675,35700.0,-6500.0,32.88707304132549,-4861.220944428223,-1701215.5288438932,4318018.051648535,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,-1571244.972229004,6684105.397417729,949.5673338412182,6685054.96475157
