trade_date,strategy,regime,active_hedging_day,spot,base_dte,base_option_price_per_share,base_delta_per_share,base_gamma_per_share,base_vega_per_share,base_theta_per_share,base_contracts_held,selected_hedge_id,targeted_greek,pre_delta,pre_gamma,pre_vega,pre_theta,hedge_contracts_theory,hedge_contracts_actual,stock_position_theory,stock_position_actual,stock_trade_shares,post_delta,post_gamma,post_vega,post_theta,total_trade_cashflow,cumulative_cash_outflow_before_interest,interest_cost,cumulative_cash_outflow_after_interest
2026-01-09,delta_vega,low,True,259.3699951171875,30.0,4.360364224397642,0.5127176523661624,0.036980352088020585,29.64990099894688,-30.673201285806883,-1000.0,2026-02-15|260.0|call,vega,-51271.765236616244,-3698.0352088020586,-2964990.099894688,3067320.1285806885,901.0157749545108,901.0,4509.060428222867,4500.0,4500.0,-9.060428222866904,-707.2642381239352,-51.9109490099363,530864.5031460561,1611779.2049517182,1611779.2049517182,224.689697041299,1612003.8946487596
2026-01-12,delta_vega,medium,True,260.25,27.0,4.738309436034655,0.5428209096978407,0.03709427804012327,28.075327831444184,-33.49111164079786,-1000.0,2026-02-06|260.0|call,vega,-604.2009157427965,-741.4895685440406,28701.95250931941,608076.4249593862,1038.986614970781,1039.0,-2026.1243858395683,-2000.0,-6500.0,26.124385839568276,300.10301186660126,36.16880890913308,-245507.3496175008,-1702112.9828852871,-90109.08823652752,-12.633151113181505,-90121.7213876407
2026-01-13,delta_vega,medium,True,261.04998779296875,26.0,5.331792053291963,0.5695899817253864,0.035298615437616684,27.371507494431246,-35.793926081901986,-1000.0,2026-02-06|260.0|call,vega,254.2036627288544,290.0864383963212,-5206.239496416412,-267604.5221357024,1040.9800119720887,1041.0,-2368.1848019690296,-2400.0,-400.0,-31.81519803097035,297.4395625198208,52.55648038163781,-275009.713916888,-103394.24385391668,-193515.9652415574,-27.3379692534473,-193543.30321081085
2026-01-14,delta_vega,medium,True,259.9599914550781,25.0,4.834624807543264,0.529530826923272,0.03498016397873379,27.06749980151906,-37.76064241085349,-1000.0,2026-02-23|260.0|call,vega,-365.3665307268602,302.60395146333985,-3436.424248268828,-298524.6824390264,791.9807111161116,792.0,10350.731014572055,10400.0,12800.0,49.268985427945154,-1323.7862674063922,65.92355766939,1323410.011447228,3342235.7327891965,3148692.429578386,444.81527258450114,3149137.2448509703
2026-01-15,delta_vega,medium,True,258.2099914550781,24.0,3.62768200996247,0.4633046240624794,0.03789081452547093,26.3026735945986,-35.80583948286703,-1000.0,2026-02-13|260.0|call,vega,2610.7376100198526,-1439.5348962030248,35057.97219244577,1253780.890519383,908.011443795164,908.0,3419.7974320874055,3400.0,-7000.0,-19.79743208740547,-659.715803540153,-33.149627236649394,572569.5078611597,-1828756.9314568925,1320380.3133940778,186.79190050804186,1320567.105294586
2026-01-16,delta_vega,medium,True,255.52999877929688,23.0,2.4447202071210654,0.36000284183403064,0.03668885917886606,23.997654163847034,-33.45568354548057,-1000.0,2026-02-15|260.0|call,vega,1777.2452615639268,-605.8632633970983,44329.31393581396,504748.89293037634,857.0266248441953,857.0,3013.3304658203488,3000.0,-400.0,-13.330465820348763,-864.1862114043888,-74.55238666385412,727791.0730672167,-102174.42924664513,1218392.6760479407,171.9770894215334,1218564.6531373623
2026-01-20,delta_vega,medium,True,246.6999969482422,19.0,0.8156738941708284,0.14235198536266364,0.019690498423171218,12.670247223646399,-25.943878464370496,-1000.0,2026-02-16|250.0|call,vega,4729.894254640225,-256.4277409647734,245699.83330038027,294424.5361250625,479.9746629141763,480.0,-6583.801839963786,-6600.0,-9600.0,-16.198160036212357,-572.0301819748172,66.8841849619057,692679.9411125055,-2280912.576734199,-1062347.9235968369,-150.5836036291925,-1062498.507200466
2026-01-21,delta_vega,medium,True,247.64999389648438,18.0,0.49808757032671735,0.11141466169769904,0.02022825777285332,10.43626590214742,-19.021652805646585,-1000.0,2026-02-19|245.0|call,vega,3777.015082608632,-325.0573091858771,211428.28519146482,226621.96329300548,393.04791388237953,393.0,-13273.586426281427,-13300.0,-6700.0,-26.413573718575208,-759.2777460092159,-127.2216437883908,581506.7879419986,-1578140.5004636017,-2640639.0076640677,-375.9767030013441,-2641014.984367069
2026-01-22,delta_vega,medium,True,248.35000610351562,17.0,0.39469982437885065,0.10005185810189299,0.02077762705552488,9.409782989755362,-16.80287030850479,-1000.0,2026-02-26|250.0|call,vega,2417.3752228174053,-735.546936967962,55529.184147663764,441179.3857100522,306.96233710962474,307.0,-4841.23397574252,-4800.0,8500.0,41.23397574251976,-1064.2402921415687,115.45378124737181,782469.611282041,1988627.225087248,-652387.7592798208,-92.88759201866092,-652480.6468718395
2026-01-23,delta_vega,medium,True,248.0399932861328,16.0,0.3594220879455712,0.09278865039939022,0.019724027163406887,8.626208831586348,-16.76726381976637,-1000.0,2026-02-17|250.0|call,vega,447.11734143230933,-973.0330928822148,62457.95166102459,750423.7457516228,335.0241392218157,335.0,-6036.61644162118,-6000.0,-1200.0,36.61644162117955,-700.6973260829543,-62.15372089238372,531401.0875256641,-312464.4260384551,-964945.0729102946,-137.16005030670854,-965082.2329606013
