strategy,sample_view,metric,mean_abs_value,ci_lower_95,ci_upper_95,n_obs
delta,executed,post_delta,24.37990244873545,20.855301882628858,28.3267040145902,74
delta_gamma,executed,post_delta,24.065129833403823,20.999219628282155,27.44181982204544,76
delta_gamma_vega,executed,post_delta,20.16105087750228,16.653714686352135,23.61841506617603,75
delta_theta,executed,post_delta,24.53527402315341,21.654218355890837,27.746467988921392,79
delta_vega,executed,post_delta,19.274809689140458,16.395822034053165,22.29716497480123,75
delta,executed,post_gamma,3292.893361153286,2975.5757626183267,3594.4687166146696,74
delta_gamma,executed,post_gamma,0.0769337770751419,0.05866923726703574,0.09883624709018946,76
delta_gamma_vega,executed,post_gamma,2.041453264975133,1.6562372218640313,2.43327620883721,75
delta_theta,executed,post_gamma,267.33905329238814,215.41947149131497,329.2015289130973,79
delta_vega,executed,post_gamma,1364.2205813504422,1101.0366810714909,1628.506642276417,75
delta,executed,post_vega,1432977.1426008856,1266040.095641317,1597395.929418589,74
delta_gamma,executed,post_vega,1202943.1209600114,951377.0526969059,1448149.6103622206,76
delta_gamma_vega,executed,post_vega,1277.2154294797685,1055.3424029262617,1520.581549140526,75
delta_theta,executed,post_vega,1125640.925476469,943066.3681585856,1325062.1661042192,79
delta_vega,executed,post_vega,59.924495770894126,45.69518487847906,77.93319841595047,75
