strategy,regime,n_regime_days,n_eligible_days,n_executed_days,eligibility_pct_of_regime,execution_pct_of_regime,hedge_coverage_pct,top_no_hedge_reason
delta,high,14,14,11,100.0,78.57142857142857,78.57142857142857,no_trade_in_high_vol_regime
delta,low,12,12,12,100.0,100.0,100.0,
delta,medium,54,54,50,100.0,92.5925925925926,92.5925925925926,no_candidate_option
delta_gamma,high,14,14,13,100.0,92.85714285714286,92.85714285714286,solver_returned_no_trade
delta_gamma,low,12,12,12,100.0,100.0,100.0,
delta_gamma,medium,54,54,51,100.0,94.44444444444444,94.44444444444444,solver_returned_no_trade
delta_gamma_vega,high,14,14,13,100.0,92.85714285714286,92.85714285714286,solver_returned_no_trade
delta_gamma_vega,low,12,12,12,100.0,100.0,100.0,
delta_gamma_vega,medium,54,54,51,100.0,94.44444444444444,94.44444444444444,solver_returned_no_trade
delta_theta,high,14,14,13,100.0,92.85714285714286,92.85714285714286,solver_returned_no_trade
delta_theta,low,12,12,12,100.0,100.0,100.0,
delta_theta,medium,54,54,51,100.0,94.44444444444444,94.44444444444444,solver_returned_no_trade
delta_vega,high,14,14,13,100.0,92.85714285714286,92.85714285714286,solver_returned_no_trade
delta_vega,low,12,12,12,100.0,100.0,100.0,
delta_vega,medium,54,54,50,100.0,92.5925925925926,92.5925925925926,solver_returned_no_trade
