strategy,regime,n_active_days,mean_abs_pre_delta,mean_abs_post_delta,pct_reduction_delta,mean_abs_pre_gamma,mean_abs_post_gamma,pct_reduction_gamma,mean_abs_pre_vega,mean_abs_post_vega,pct_reduction_vega,mean_abs_post_theta,total_option_turnover,total_stock_turnover,final_cash_outflow,avg_daily_cashflow
delta,low,1,51271.765236616244,28.234763383756217,99.94493116581133,3698.0352088020586,3698.0352088020586,0.0,2964990.099894688,2964990.099894688,0.0,3067320.1285806885,0.0,51300.0,13307535.624774627,13305680.749511719
delta,medium,20,13290.386290096634,25.54235527648607,99.8078132966269,2749.322714616219,2749.322714616219,0.0,1318538.6391287223,1318538.6391287223,0.0,2931110.996862445,0.0,265900.0,-606318.0275018592,-697547.9488372803
delta_gamma,low,1,51271.765236616244,29.288378524994187,99.94287620410604,3698.0352088020586,0.008344898628365627,99.99977434236946,2964990.099894688,100001.48042067327,96.62725752695683,10269.76003929507,1017.0,1000.0,192761.69531505043,192734.8271622716
delta_gamma,medium,20,6469.1214430121245,19.15357885041825,99.70392302851097,482.65219346413033,0.08307870547843489,99.98278704487342,1044116.3298109041,1086781.8565899509,-4.086280959399777,351873.89208673674,32049.0,434200.0,-1073296.013703994,-63711.00251062866
delta_gamma_vega,low,1,51271.765236616244,14.63584983189503,99.97145436720513,3698.0352088020586,3.8947480486651784,99.89468061203432,2964990.099894688,3963.6596150221303,99.86631794773402,89311.32111724187,852.0,7400.0,2382680.5004596785,2382348.3897485496
delta_gamma_vega,medium,20,6329.013370139005,21.552169887743393,99.65947030560199,513.9646213560885,2.0327499033391083,99.60449614256022,131136.50545131977,1241.990302382148,99.05290270004701,261392.63028641703,23014.0,242000.0,-1048591.723104038,-172550.43926522677
delta_theta,low,1,51271.765236616244,40.88354228694516,99.9202610986802,3698.0352088020586,66.03107937187679,98.21442805047639,2964990.099894688,455072.3446240048,84.65180896758582,4.8843344217166305,927.0,4200.0,1452585.5498642349,1452383.0807460095
delta_theta,medium,20,6753.448759771289,20.515158455802613,99.6962269325562,634.3329767341271,275.08840022131017,56.63343853923424,1179805.1707037394,1144917.128822128,2.9571019646236207,101.19817840540199,34881.0,309000.0,-1064873.7640051276,-126222.36152974571
delta_vega,low,1,51271.765236616244,9.060428222866904,99.98232862047747,3698.0352088020586,707.2642381239352,80.87459425912155,2964990.099894688,51.9109490099363,99.99824920329374,530864.5031460561,901.0,4500.0,1612003.8946487596,1611779.2049517182
delta_vega,medium,20,9399.079494722555,25.84434367070087,99.72503324729605,1211.8051286866844,1260.5393368512332,-4.021620886962691,162328.84941494802,73.34402489182654,99.95481762782391,1409536.698683783,17339.0,298900.0,-814216.1891277125,-122337.74889047854
