sample_view,strategy,regime,n_regime_days,n_eligible_days,n_executed_days,hedge_coverage_pct,mean_abs_pre_delta,mean_abs_post_delta,pct_reduction_delta,mean_abs_pre_gamma,mean_abs_post_gamma,pct_reduction_gamma,mean_abs_pre_vega,mean_abs_post_vega,pct_reduction_vega,mean_abs_post_theta,total_option_turnover,total_stock_turnover,final_cash_outflow,avg_daily_cashflow
executed,delta,high,14,14,14,100.0,14158.078282266299,24.001096010306355,99.83047772775512,3141.908616202988,3141.908616202988,0.0,1417378.1075868278,1417378.1075868278,0.0,5363935.989974535,0.0,198200.0,13774134.51995846,-1017815.437435082
executed,delta,low,12,12,11,91.66666666666667,8621.272147107635,30.876312288642854,99.64185897670565,3315.6158784748914,3315.6158784748914,0.0,1018743.5126130796,1018743.5126130796,0.0,2457894.1689463328,0.0,94700.0,22622487.763826475,855339.8032448508
executed,delta,medium,55,55,49,89.0909090909091,13097.133038365815,23.029755140552304,99.82416185990407,3330.9308864342356,3330.9308864342356,0.0,1530425.2328062458,1530425.2328062458,0.0,3327492.5656293253,0.0,641800.0,19674888.643420506,497849.1677590949
executed,delta_gamma,high,14,14,14,100.0,5419.448387125975,28.829339552634337,99.46803922662833,871.8744082579742,0.04576145912447568,99.9947513703016,1474022.5561267629,1785305.677214517,-21.117934715035965,211291.9136081929,30379.0,228300.0,-9984762.121711222,-1967067.159443105
executed,delta_gamma,low,12,12,11,91.66666666666667,2769.7895211186133,25.346144201159767,99.08490721017228,1038.6407498664378,0.10119394091125876,99.99025707965681,1204376.652353311,1188424.545506753,1.324511465361609,389163.68470852205,19489.0,316400.0,22445300.335664704,1790070.5230853967
executed,delta_gamma,medium,55,55,51,92.72727272727273,5219.818775620968,22.481010340961813,99.5693143515641,817.8549227917875,0.08025829960675056,99.99018673148866,1249505.2612885877,1046210.3472820264,16.270032652516214,232314.14781352846,95714.0,885800.0,18662386.82035168,519941.0798209644
executed,delta_gamma_vega,high,14,14,14,100.0,5551.318655317957,30.177930194647256,99.45638267106612,1015.0215472833858,1.165101778218043,99.88521408423925,342445.6256977617,1550.935485961742,99.54710021983736,158149.71903338595,20820.0,159400.0,1055006.4715629604,-1673147.697403459
executed,delta_gamma_vega,low,12,12,11,91.66666666666667,1810.3130958707961,20.157359597659084,98.88652633383492,783.9816416180648,1.938625258911509,99.75272057966684,163388.65030344433,641.5119305650811,99.60737056743314,421540.93686427583,11628.0,212700.0,22458985.058096375,1893455.269266479
executed,delta_gamma_vega,medium,55,55,50,90.9090909090909,5152.885587007933,17.357136750267195,99.66315695434747,829.9618075977384,2.309453842601115,99.72173974495458,311186.0010561525,1340.4285834260472,99.56925164407247,161584.28383056575,67156.0,507300.0,18661926.958402317,424397.0638653977
executed,delta_theta,high,14,14,14,100.0,4971.542613070822,26.67278288628118,99.46349081236566,844.0549631285713,110.09760534289217,86.95610947718325,1351536.7311539582,1638489.5836017185,-21.231598508074324,97.46304186839345,32464.0,311000.0,-6083391.819375081,-2416283.86837025
executed,delta_theta,low,12,12,12,100.0,2870.586921169363,29.074146434359744,98.98717066464876,1206.7547993113083,608.2478093435278,49.59640436560491,1159747.8852685464,1246365.0273651087,-7.468618239946659,48.94454677810427,21344.0,249800.0,19378041.97055815,1290992.856146613
executed,delta_theta,medium,55,55,53,96.36363636363636,5163.734238221496,22.942979815261623,99.55569015063867,861.4612584759717,231.68764194671388,73.10527436177489,1142523.8143894193,962837.7096950127,15.727121170811952,85.97624034541016,96281.0,774400.0,15437062.15126199,637301.3288384668
executed,delta_vega,high,14,14,14,100.0,8234.414284207758,19.910257227004585,99.7582067583703,1686.8697136942023,1578.2377338857918,6.4398559608085675,333133.8759890558,31.95504833693329,99.99040774576225,2682561.0941383163,16662.0,137100.0,9255838.438635265,-1435108.3640173662
executed,delta_vega,low,12,12,11,91.66666666666667,4269.000644811085,19.22863251867077,99.54957531941245,1405.5334236131448,1489.4949780110617,-5.973643386016428,215165.7967644143,101.9389665734594,99.95262306179403,1281027.0834734603,10173.0,191300.0,22566559.6545971,1838394.2191488529
executed,delta_vega,medium,55,55,50,90.9090909090909,7397.968524404185,19.107043356041835,99.74172580901079,1451.1185183822863,1276.7354113752078,12.01715123872043,353432.95397126296,58.51275747583881,99.98344445337698,1344233.0853367823,59096.0,534100.0,19065170.42069183,377733.713472399
