trade_date,strategy,instrument_type,contract_id,trade_quantity_contracts,trade_quantity_shares_equiv,price_per_share,trade_cashflow
2025-12-15,delta,base_entry_option,2026-01-27|275.0|call,-1000.0,-100000.0,6.267894862124081,-626789.486212408
2025-12-15,delta,stock,STOCK,,51300.0,274.1099853515625,14061842.248535156
2025-12-16,delta,stock,STOCK,,1300.0,274.6099853515625,356992.98095703125
2025-12-17,delta,stock,STOCK,,-6900.0,271.8399963378906,-1875695.9747314453
2025-12-18,delta,stock,STOCK,,500.0,272.19000244140625,136095.00122070312
2025-12-19,delta,stock,STOCK,,3400.0,273.6700134277344,930478.0456542969
2025-12-22,delta,stock,STOCK,,-9200.0,270.9700012207031,-2492924.0112304688
2025-12-23,delta,stock,STOCK,,4300.0,272.3599853515625,1171147.9370117188
2025-12-24,delta,stock,STOCK,,4700.0,273.80999755859375,1286906.9885253906
2025-12-26,delta,stock,STOCK,,-1700.0,273.3999938964844,-464779.98962402344
2025-12-29,delta,stock,STOCK,,1000.0,273.760009765625,273760.009765625
2025-12-30,delta,stock,STOCK,,-2600.0,273.0799865722656,-710007.9650878906
2025-12-31,delta,stock,STOCK,,-4300.0,271.8599853515625,-1168997.9370117188
2026-01-02,delta,stock,STOCK,,-4000.0,271.010009765625,-1084040.0390625
2026-01-05,delta,stock,STOCK,,-13900.0,267.260009765625,-3714914.1357421875
2026-01-06,delta,stock,STOCK,,-13300.0,262.3599853515625,-3489387.8051757812
2026-01-07,delta,stock,STOCK,,-3100.0,260.3299865722656,-807022.9583740234
2026-01-08,delta,stock,STOCK,,-2200.0,259.0400085449219,-569888.0187988281
2026-01-09,delta,stock,STOCK,,-1200.0,259.3699951171875,-311243.994140625
2026-01-12,delta,stock,STOCK,,100.0,260.25,26025.0
2026-01-13,delta,stock,STOCK,,1300.0,261.04998779296875,339364.9841308594
2026-01-14,delta,stock,STOCK,,-1200.0,259.9599914550781,-311951.98974609375
2026-01-15,delta,stock,STOCK,,-2600.0,258.2099914550781,-671345.9777832031
2026-01-16,delta,stock,STOCK,,-1200.0,255.52999877929688,-306635.99853515625
2026-01-20,delta,stock,STOCK,,-500.0,246.6999969482422,-123349.9984741211
2026-01-27,delta,option_liquidation,2026-01-27|275.0|call,1000.0,100000.0,0.0,0.0
2026-01-27,delta,base_entry_option,2026-02-26|260.0|call,-1000.0,-100000.0,4.328717603809082,-432871.7603809082
2026-01-27,delta,stock,STOCK,,47400.0,258.2699890136719,12241997.479248047
2026-01-28,delta,stock,STOCK,,-6200.0,256.44000244140625,-1589928.0151367188
2026-01-29,delta,stock,STOCK,,6100.0,258.2799987792969,1575507.992553711
2026-01-30,delta,stock,STOCK,,3900.0,259.4800109863281,1011972.0428466797
2026-02-02,delta,stock,STOCK,,32000.0,270.010009765625,8640320.3125
2026-02-03,delta,stock,STOCK,,-2900.0,269.4800109863281,-781492.0318603516
2026-02-04,delta,stock,STOCK,,11400.0,276.489990234375,3151985.888671875
2026-02-05,delta,stock,STOCK,,-3600.0,275.9100036621094,-993276.0131835938
2026-02-06,delta,stock,STOCK,,4500.0,278.1199951171875,1251539.9780273438
2026-02-09,delta,stock,STOCK,,700.0,274.6199951171875,192233.99658203125
2026-02-10,delta,stock,STOCK,,-1100.0,273.67999267578125,-301047.9919433594
2026-02-11,delta,stock,STOCK,,2900.0,275.5,798950.0
2026-02-12,delta,stock,STOCK,,-36700.0,261.7300109863281,-9605491.403198242
2026-02-13,delta,stock,STOCK,,-23000.0,255.77999877929688,-5882939.971923828
2026-02-17,delta,stock,STOCK,,34000.0,263.8800048828125,8971920.166015625
2026-02-18,delta,stock,STOCK,,3600.0,264.3500061035156,951660.0219726562
2026-02-19,delta,stock,STOCK,,-18400.0,260.5799865722656,-4794671.7529296875
2026-02-20,delta,stock,STOCK,,22800.0,264.5799865722656,6032423.693847656
2026-02-23,delta,stock,STOCK,,12300.0,266.17999267578125,3274013.9099121094
2026-02-24,delta,stock,STOCK,,10200.0,272.1400146484375,2775828.1494140625
2026-02-25,delta,stock,STOCK,,100.0,274.2300109863281,27423.001098632812
2026-02-26,delta,option_liquidation,2026-02-26|260.0|call,1000.0,100000.0,12.95001220703125,1295001.220703125
2026-02-26,delta,stock_liquidation,STOCK,,-100000.0,272.95001220703125,-27295001.220703125
2026-02-26,delta,base_entry_option,2026-03-27|275.0|call,-1000.0,-100000.0,5.07873293180873,-507873.29318087304
2026-02-26,delta,stock,STOCK,,47200.0,272.95001220703125,12883240.576171875
2026-02-27,delta,stock,STOCK,,-21500.0,264.17999267578125,-5679869.842529297
2026-03-02,delta,stock,STOCK,,1500.0,264.7200012207031,397080.0018310547
2026-03-03,delta,stock,STOCK,,-500.0,263.75,-131875.0
2026-03-04,delta,stock,STOCK,,-5600.0,262.5199890136719,-1470111.9384765625
2026-03-05,delta,stock,STOCK,,-1900.0,260.2900085449219,-494551.01623535156
2026-03-06,delta,stock,STOCK,,400.0,257.4599914550781,102983.99658203125
2026-03-09,delta,stock,STOCK,,-2000.0,259.8800048828125,-519760.009765625
2026-03-10,delta,stock,STOCK,,300.0,260.8299865722656,78248.99597167969
2026-03-11,delta,stock,STOCK,,-1600.0,260.80999755859375,-417295.99609375
2026-03-12,delta,stock,STOCK,,-5600.0,255.75999450683594,-1432255.9692382812
2026-03-13,delta,stock,STOCK,,-6200.0,250.1199951171875,-1550743.9697265625
2026-03-16,delta,stock,STOCK,,-2100.0,252.82000732421875,-530922.0153808594
2026-03-17,delta,stock,STOCK,,-400.0,254.22999572753906,-101691.99829101562
2026-03-18,delta,stock,STOCK,,-1000.0,249.94000244140625,-249940.00244140625
2026-03-19,delta,stock,STOCK,,-700.0,248.9600067138672,-174272.00469970703
2026-03-23,delta,stock,STOCK,,-200.0,251.49000549316406,-50298.00109863281
2026-03-24,delta,stock,STOCK,,-100.0,251.63999938964844,-25163.999938964844
2026-03-27,delta,option_liquidation,2026-03-27|275.0|call,1000.0,100000.0,0.0,0.0
2026-03-27,delta,base_entry_option,2026-04-26|250.0|call,-1000.0,-100000.0,8.573546560393652,-857354.6560393652
2026-03-27,delta,stock,STOCK,,50700.0,248.8000030517578,12614160.154724121
2026-03-30,delta,stock,STOCK,,-4400.0,246.6300048828125,-1085172.021484375
2026-03-31,delta,stock,STOCK,,15100.0,253.7899932861328,3832228.8986206055
2026-04-01,delta,stock,STOCK,,4500.0,255.6300048828125,1150335.0219726562
2026-04-02,delta,stock,STOCK,,1200.0,255.9199981689453,307103.9978027344
2026-04-06,delta,stock,STOCK,,7700.0,258.8599853515625,1993221.8872070312
2026-04-07,delta,stock,STOCK,,-13300.0,253.5,-3371550.0
2026-04-08,delta,stock,STOCK,,17300.0,258.8999938964844,4478969.89440918
2026-04-09,delta,stock,STOCK,,5900.0,260.489990234375,1536890.9423828125
2026-04-10,delta,stock,STOCK,,1000.0,260.4800109863281,260480.01098632812
2025-12-15,delta_gamma,base_entry_option,2026-01-27|275.0|call,-1000.0,-100000.0,6.267894862124081,-626789.486212408
2025-12-15,delta_gamma,option,2026-01-15|270.0|call,915.0,91500.0,7.98379739554224,730517.461692115
2025-12-15,delta_gamma,stock,STOCK,,-8300.0,274.1099853515625,-2275112.8784179688
2025-12-16,delta_gamma,option,2026-01-15|270.0|call,-915.0,-91500.0,8.216201242918544,-751782.4137270468
2025-12-16,delta_gamma,option,2026-01-12|270.0|call,884.0,88400.0,7.925073087589681,700576.4609429277
2025-12-16,delta_gamma,stock,STOCK,,1400.0,274.6099853515625,384453.9794921875
2025-12-17,delta_gamma,option,2026-01-17|270.0|call,879.0,87900.0,6.9130342340622235,607655.7091740695
2025-12-17,delta_gamma,option,2026-01-12|270.0|call,-884.0,-88400.0,6.380900968798926,-564071.645641825
2025-12-17,delta_gamma,stock,STOCK,,1400.0,271.8399963378906,380575.9948730469
2025-12-18,delta_gamma,option,2026-01-17|270.0|call,-879.0,-87900.0,6.78726375075874,-596600.4836916933
2025-12-18,delta_gamma,option,2026-01-13|270.0|call,823.0,82300.0,6.375901230187651,524736.6712444436
2025-12-18,delta_gamma,stock,STOCK,,2400.0,272.19000244140625,653256.005859375
